V1,Copies,Benefit_given_cost,Cost_given_benefit,Good_deal,Satisfy,Gender
R_067f0h5h30SeCt6,Two Copies,4,3,2,5,Female
R_09db6dcwEB1r0WM,Two Copies,3,2,3,6,Female
R_0dlBv64Xl2jZ93K,Two Copies,2,4,2,1,Male
R_0DNXESYJn0a4Muw,Two Copies,6,3,4,5,Male
R_0DtPtJTXX5wmWJm,Two Copies,3,3,3,3,Female
R_0ePrAMIf01Ul5MV,Two Copies,6,4,4,6,Male
R_0GQ2GUxybm1ToWg,Two Copies,2,6,7,3,Female
R_0IBFB1HtvIsXkMY,Two Copies,3,7,4,6,Female
R_0IispEZLyIIkCUc,Two Copies,5,5,4,4,Female
R_0lhcSedh1rztCnP,Two Copies,6,5,5,6,Female
R_0P3kokrpwG8xhpr,Two Copies,5,5,6,6,Male
R_0P9gJ55Frj2VYzO,Two Copies,3,6,1,3,Male
R_0pHihjhA6tUpP6c,Two Copies,5,6,5,6,Male
R_0qQKrrASF1h0zWc,Two Copies,3,3,2,7,Female
R_0SBYpam7S9ePaHG,Two Copies,6,6,6,6,Male
R_0T9gkkC4zaWDxrL,Two Copies,6,4,3,4,Male
R_0TXAdltcGCO3wr2,Two Copies,4,4,1,1,Male
R_0UKTLMq7FKHgtSs,Two Copies,7,1,3,2,Male
R_0UlW1ZtURbzo460,Two Copies,2,4,2,1,Male
R_0vPGuHv60I5Lmlu,Two Copies,6,5,6,3,Female
R_0wudsVw0HJXLuBe,Two Copies,4,7,5,6,Male
R_0xGYbJPCPSZciLb,Two Copies,5,6,5,6,Female
R_1B2PxSUXtwlYNAE,Two Copies,1,4,7,5,Male
R_1Bv0rn7xKxSbomU,Two Copies,7,1,5,2,Female
R_1G4QoRuFVuh83Cl,Two Copies,1,1,1,6,Female
R_1LkyTQgZjAGASfq,Two Copies,4,7,3,1,Male
R_1MvV7Z01tAGOz40,Two Copies,5,1,6,5,Female
R_1Nw84yNSKaljF9u,Two Copies,6,6,6,6,Male
R_1pFkTZ4H1tVZoWU,Two Copies,6,6,7,7,Male
R_1Uhy1EI3Dk5t32A,Two Copies,1,1,7,5,Female
R_1Zl4TkEbkeonuAs,Two Copies,4,2,3,3,Male
R_1zQgO51ufpVZDc8,Two Copies,1,7,4,7,Female
R_25zqG0wJw8LQTFW,Two Copies,7,5,2,3,Female
R_28UFWaiypRg4kev,Two Copies,5,5,5,4,Male
R_28XHoFecEjyPjec,Two Copies,6,6,6,6,Male
R_2AX7cexyWXU85q7,Two Copies,4,4,4,6,Female
R_2bs2JawJl38NLfu,Two Copies,6,1,3,2,Male
R_2c2s5cuWQacL9kx,Two Copies,6,3,6,7,Male
R_2fvqkzHaROlGRJG,Two Copies,1,1,1,1,Male
R_2fYJ9CqwXL7QmnW,Two Copies,5,7,6,1,Male
R_2gdmfYR2yDDWUIc,Two Copies,1,1,3,4,Female
R_2gGTBmmjwB20Sck,Two Copies,2,1,4,2,Female
R_2h5T3KscWOwm29e,Two Copies,4,6,2,5,Male
R_2mi5kiKYgk7jPUw,Two Copies,6,5,6,7,Female
R_2nHibKqKySEmN6c,Two Copies,1,2,5,5,Male
R_2rTNDMrjSpyFjjS,Two Copies,7,6,3,1,Male
R_2s1LdKWtbkGl3Bq,Two Copies,5,3,3,5,Female
R_2sFc3bHPDmxYmjO,Two Copies,2,1,4,2,Male
R_2tq7QvbkhaoYTqZ,Two Copies,3,4,4,5,Male
R_2ziIHXicZ4nBsyr,Two Copies,1,1,1,2,Male
R_3a659uSF8K7D5jK,Two Copies,5,2,1,4,Female
R_3CvnSHMjfzq5oS8,Two Copies,4,5,5,4,Female
R_3fNkxuZAhh8Vq7j,Two Copies,5,5,6,6,Male
R_3JWu2ZVKsQqXh9q,Two Copies,2,2,2,2,Female
R_3kb9TWToG3sgOHR,Two Copies,5,5,5,5,Female
R_3KH3sGYtRuHf7XS,Two Copies,4,6,5,6,Female
R_3KjDJng6StkX3PC,Two Copies,4,4,2,2,Female
R_3Klbtgw1zGpfcHO,Two Copies,4,6,6,7,Male
R_3n6eUXm0WZDZ8CE,Two Copies,3,3,2,3,Male
R_3n6XzsR3jxPIdrS,Two Copies,6,6,6,6,Male
R_3NVzhm7O5f1uW1K,Two Copies,4,2,1,5,Female
R_3Q9q8Qll7a75uS0,Two Copies,5,4,2,5,Male
R_3QMwbEjBOK9aigI,Two Copies,5,5,6,6,Male
R_3w9jbT0ZyqtksIt,Two Copies,6,4,4,6,Male
R_3Wc44owo7WY2iEt,Two Copies,3,3,3,4,Female
R_3WU3Gvk5EKT25rm,Two Copies,6,7,7,6,Male
R_3WU5kJSmNaCtYCU,Two Copies,1,1,1,6,Male
R_3x6e0edCZGA6Y0B,Two Copies,5,5,4,4,Male
R_3yhqfM2FB0v2q0t,Two Copies,3,3,2,5,Female
R_3z9guTKuVQMFORf,Two Copies,5,5,5,6,Female
R_41sALomLWkkFN2s,Two Copies,2,1,4,1,Male
R_42tphkEu4x0evAM,Two Copies,3,2,6,7,Male
R_4HhKJfzIMLYBFek,Two Copies,1,5,1,3,Male
R_4Jxh7fSf3QYzEZ6,Two Copies,4,4,4,5,Female
R_4Mc1wDPJHalgozG,Two Copies,3,7,5,6,Female
R_4OpzE19xVqXpT2k,Two Copies,7,3,2,5,Male
R_4Pbbo9bR2M4LNlO,Two Copies,7,7,1,3,Male
R_4Vld0A8x0hOL1Iw,Two Copies,4,6,2,2,Female
R_4Vo7DS01KywTmLi,Two Copies,4,1,2,4,Female
R_4YnUeoNBt5AUmt7,Two Copies,5,5,6,6,Male
R_51rVrxh9N6hGZPT,Two Copies,5,5,6,5,Female
R_54Py1QPUE3tMJSs,Two Copies,4,2,4,5,Male
R_56dZbHgTFROJAa0,Two Copies,6,3,7,2,Female
R_5atgiJqsyNouh6Y,Two Copies,3,2,3,4,Female
R_5AxhLeFtek2LbTK,Two Copies,1,5,4,1,Male
R_5Ba6HEAn6xLQ8rH,Two Copies,3,4,3,4,Female
R_5cJlXFXjStTyPOY,Two Copies,5,3,2,4,Female
R_5clVOIGeIMlRakI,Two Copies,4,2,5,3,Male
R_5dvYdJtUZpYz780,Two Copies,4,3,4,5,Male
R_5ijoYGma9XdKohm,Two Copies,5,2,2,4,Female
R_5in3YaGQPcy29dW,Two Copies,5,4,6,7,Male
R_5pD2PPwqofxAOSV,Two Copies,6,6,6,6,Male
R_5pvReSl7PFwluVm,Two Copies,4,5,3,4,Female
R_5v9cMnVSNtfcISh,Two Copies,6,6,6,6,Male
R_6EiITYy2faUNIzO,Two Copies,2,5,7,2,Male
R_6foi1138gUOuX76,Two Copies,5,4,2,7,Female
R_6gGRfAYFRzYcqMc,Two Copies,5,7,5,1,Female
R_6KioQHegEqkRJ3e,Two Copies,5,1,6,4,Male
R_6MuxNcPe2Uksuag,Two Copies,5,5,5,5,Male
R_6nWlLIlaQwguw9m,Two Copies,6,3,3,5,Female
R_6omvJyW3jLE6XpW,Two Copies,3,3,4,3,Female
R_6PPrefLfy1EZ5Ck,Two Copies,6,1,6,4,Female
R_6R1u3XbZLGDQhs8,Two Copies,5,5,4,5,Male
R_6sTDy7xkyxeQpV2,Two Copies,4,6,6,1,Female
R_6tkHjicwQeMW525,Two Copies,7,5,6,6,Male
R_6u0ITNZeqUgCMtf,Two Copies,3,1,2,5,Male
R_6XwwpD68dd7GaAQ,Two Copies,2,2,7,7,Female
