V1,Switch_From,Switch_To
R_00Rhf3e36LIYmAl,from Apple iPad,to Apple iPad
R_00Rhf3e36LIYmAl,from Samsung- Galaxy Tab,to Motorola- Xoom
R_00Rhf3e36LIYmAl,from Lenovo- IdeaPad,to Asus- EeePad
R_00Rhf3e36LIYmAl,from Asus- EeePad,to Lenovo- IdeaPad
R_00Rhf3e36LIYmAl,from Motorola- Xoom,to Samsung- Galaxy Tab
R_01lChz3ar0G3hTD,from Apple iPad,to Apple iPad
R_01lChz3ar0G3hTD,from Samsung- Galaxy Tab,to Samsung- Galaxy Tab
R_01lChz3ar0G3hTD,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_01lChz3ar0G3hTD,from Asus- EeePad,to Samsung- Galaxy Tab
R_01lChz3ar0G3hTD,from Motorola- Xoom,to Apple iPad
R_01V1GavJnNwOD7D,from Apple iPad,to Samsung- Galaxy Tab
R_01V1GavJnNwOD7D,from Samsung- Galaxy Tab,to Lenovo- IdeaPad
R_01V1GavJnNwOD7D,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_01V1GavJnNwOD7D,from Asus- EeePad,to Lenovo- IdeaPad
R_01V1GavJnNwOD7D,from Motorola- Xoom,to Samsung- Galaxy Tab
R_02Elr3dQ9os7hkx,from Apple iPad,to Apple iPad
R_02Elr3dQ9os7hkx,from Samsung- Galaxy Tab,to Apple iPad
R_02Elr3dQ9os7hkx,from Lenovo- IdeaPad,to Asus- EeePad
R_02Elr3dQ9os7hkx,from Asus- EeePad,to Lenovo- IdeaPad
R_02Elr3dQ9os7hkx,from Motorola- Xoom,to Lenovo- IdeaPad
R_02q4zch8BuN5XMN,from Apple iPad,to Apple iPad
R_02q4zch8BuN5XMN,from Samsung- Galaxy Tab,to Apple iPad
R_02q4zch8BuN5XMN,from Lenovo- IdeaPad,to Asus- EeePad
R_02q4zch8BuN5XMN,from Asus- EeePad,to Lenovo- IdeaPad
R_02q4zch8BuN5XMN,from Motorola- Xoom,to Asus- EeePad
R_02QdKmGc6fZkwRv,from Apple iPad,to Apple iPad
R_02QdKmGc6fZkwRv,from Samsung- Galaxy Tab,to Lenovo- IdeaPad
R_02QdKmGc6fZkwRv,from Lenovo- IdeaPad,to Lenovo- IdeaPad
R_02QdKmGc6fZkwRv,from Asus- EeePad,to Lenovo- IdeaPad
R_02QdKmGc6fZkwRv,from Motorola- Xoom,to Motorola- Xoom
R_02tUwAWjkE1T6NT,from Apple iPad,to Apple iPad
R_02tUwAWjkE1T6NT,from Samsung- Galaxy Tab,to Apple iPad
R_02tUwAWjkE1T6NT,from Lenovo- IdeaPad,to Apple iPad
R_02tUwAWjkE1T6NT,from Asus- EeePad,to Apple iPad
R_02tUwAWjkE1T6NT,from Motorola- Xoom,to Apple iPad
R_09Fmd1T4LrvWoXr,from Apple iPad,to Lenovo- IdeaPad
R_09Fmd1T4LrvWoXr,from Samsung- Galaxy Tab,to Apple iPad
R_09Fmd1T4LrvWoXr,from Lenovo- IdeaPad,to Apple iPad
R_09Fmd1T4LrvWoXr,from Asus- EeePad,to Lenovo- IdeaPad
R_09Fmd1T4LrvWoXr,from Motorola- Xoom,to Lenovo- IdeaPad
R_0chsaJXp5daSdgx,from Apple iPad,to Samsung- Galaxy Tab
R_0chsaJXp5daSdgx,from Samsung- Galaxy Tab,to Apple iPad
R_0chsaJXp5daSdgx,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_0chsaJXp5daSdgx,from Asus- EeePad,to Samsung- Galaxy Tab
R_0chsaJXp5daSdgx,from Motorola- Xoom,to Samsung- Galaxy Tab
R_0CUuFmObEZDUdDf,from Apple iPad,to Apple iPad
R_0CUuFmObEZDUdDf,from Samsung- Galaxy Tab,to Samsung- Galaxy Tab
R_0CUuFmObEZDUdDf,from Lenovo- IdeaPad,to Asus- EeePad
R_0CUuFmObEZDUdDf,from Asus- EeePad,to Lenovo- IdeaPad
R_0CUuFmObEZDUdDf,from Motorola- Xoom,to Lenovo- IdeaPad
R_0HfQYAfzJaRWnaZ,from Apple iPad,to Samsung- Galaxy Tab
R_0HfQYAfzJaRWnaZ,from Samsung- Galaxy Tab,to Apple iPad
R_0HfQYAfzJaRWnaZ,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
